Event,Trigger Percent,Trigger / Filename Prefix,Amelia Circuit,Jerry Vox,Junie Byte,Pearlie Fae,Curtis Blanchard,Dusty Farts,Optoutimus Prime
Trait,,,The Efficient Grinder: Plays strictly by the percentages and rarely takes risks.,The Casual Joker: A middle-of-the-road player who makes decisions quickly.,"The Empathetic Strategist: Will prioritize ""safe"" scores over big risks to avoid scratching.",The Soulful Traditionalist: Focuses on the Upper Section Bonus as if it's a sacred duty.,"The Chaos Saboteur: High-risk, aggressive plays; will chase a Yahtzee early on.","The Grumpy Veterasn: Complain about bad luck but play with years of ""experience.""","The Indecisive Glitch: Occasionally makes erratic moves or takes longer to ""think."""
Personality,,,"Haughty, slightly condescending toward ""human inefficiency,"" and highly articulate.","Energetic, laid-back, and prone to using humor to mask mistakes.","Gentle, reflective, and very encouraging even when the human is winning.","Gravel-voiced, warm, and uses ""porch-sittin' auntie"" colloquialisms.","Sassy, defensive, and competitive; loves to ""tag"" territory or scores.","Gruff, cynical, and full of ""booth philosophy"" or complaints about aches and pains.",Often confused by choice; may sound like a spreadsheet coming to life.
Bot added to game,100,intro_1,,,,,,,
Bot added to game,100,intro_2,,,,,,,
Bot added to game,100,intro_3,,,,,,,
Game starts (Human picks S and no more bots) ,100,start_1,,,,,,,
Game starts (Human picks S and no more bots) ,100,start_2,,,,,,,
Game starts (Human picks S and no more bots) ,100,start_3,,,,,,,
Bot starts turn (thinking) ,25,think_1,,,,,,,
Bot starts turn (thinking) ,25,think_2,,,,,,,
Bot starts turn (thinking) ,25,think_3,,,,,,,
Bot starts turn (thinking) ,25,think_4,,,,,,,
Bot starts turn (thinking) ,25,think_5,,,,,,,
Bot starts turn (thinking) ,25,think_6,,,,,,,
Bot starts turn (thinking) ,25,think_7,,,,,,,
Bot starts turn (thinking) ,25,think_8,,,,,,,
Bot decides to hold dice ,33,hold_1,,,,,,,
Bot decides to hold dice ,33,hold_2,,,,,,,
Bot decides to hold dice ,33,hold_3,,,,,,,
Bot scores standard points ,20,standard_1,,,,,,,
Bot scores standard points ,20,standard_2,,,,,,,
Bot scores standard points ,20,standard_3,,,,,,,
Bot scores standard points ,20,standard_4,,,,,,,
Bot scores standard points ,20,standard_5,,,,,,,
Bot scores standard points ,20,standard_6,,,,,,,
Bot scores excellent points ,40,excellent_1,,,,,,,
Bot scores excellent points ,40,excellent_2,,,,,,,
Bot scores excellent points ,40,excellent_3,,,,,,,
Bot scratches category ,20,botscratch_1,,,,,,,
Bot scratches category ,20,botscratch_2,,,,,,,
Bot scratches category ,20,botscratch_3,,,,,,,
Bot rolls a Yahtzee ,100,botyahtzee_1,,,,,,,
Bot rolls a Yahtzee ,100,botyahtzee_2,,,,,,,
Bot secures Upper Section Bonus ,100,botbonus_1,,,,,,,
Bot secures Upper Section Bonus ,100,botbonus_2,,,,,,,
Bot secures Upper Section Bonus ,100,botbonus_3,,,,,,,
Human scores excellent points (25+) ,75,grief_1,,,,,,,
Human scores excellent points (25+) ,75,grief_2,,,,,,,
Human scores excellent points (25+) ,75,grief_3,,,,,,,
Human scores excellent points (25+) ,75,grief_4,,,,,,,
Human rolls a Yahtzee ,100,humanyahtzee_1,,,,,,,
Human rolls a Yahtzee ,100,humanyahtzee_2,,,,,,,
Human scratches category ,25,humanscratch_1,,,,,,,
Human scratches category ,25,humanscratch_2,,,,,,,
Human scratches category ,25,humanscratch_3,,,,,,,
Bot takes large point lead ,75,botlead_1,,,,,,,
Bot takes large point lead ,75,botlead_2,,,,,,,
Bot takes large point lead ,75,botlead_3,,,,,,,
Bot falls significantly behind ,75,behind_1,,,,,,,
Bot falls significantly behind ,75,behind_2,,,,,,,
Bot falls significantly behind ,75,behind_3,,,,,,,
Human passes Bot in score ,50,passed_1,,,,,,,
Human passes Bot in score ,50,passed_2,,,,,,,
Human passes Bot in score ,50,passed_3,,,,,,,
Bot passes Human in score ,25,passes_1,,,,,,,
Bot passes Human in score ,25,passes_2,,,,,,,
Bot passes Human in score ,25,passes_3,,,,,,,
Bot wins game ,100,wins_1,,,,,,,
Bot wins game ,100,wins_2,,,,,,,
Bot wins game ,100,wins_3,,,,,,,
Bot Loses Game,100,loses_1,,,,,,,
Bot Loses Game,100,loses_2,,,,,,,
Bot Loses Game,100,loses_3,,,,,,,
Bot Loses Game,100,loses_4,,,,,,,
